submission_id,QUD,RT,age,condition,experiment_id,gender,optionLeft,optionRight,question,response,startDate,startTime,trial_name,trial_number
2775,NA,NA,55,2,258,male,NA,NA,Call the police or do nothing ?,6,Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit),1629662542383,experimental_trial,1
2775,,8408,55,2,258,male,very bad,very good,How did you feel about your choice ?,7,Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit),1629662542383,fit_backstory_fake_rating,1
2775,NA,NA,55,2,258,male,NA,NA,Which of the following is true about the previous study?,correct,Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit),1629662542383,understanding_check,1
2775,NA,NA,55,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,6,Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit),1629662542383,identity_check_Pro ,1
2775,NA,NA,55,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,2,Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit),1629662542383,identity_check_Anti ,1
2775,,15933,55,2,258,male,NA,NA,Which of the following statements is true?,correct,Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit),1629662542383,understanding_check2,1
2775,,44570,55,2,258,male,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit),1629662542383,sympathy_rating,1
2769,NA,NA,19,2,258,male,NA,NA,Please select the topic you care about the most,AfD,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,choice_of_political_topic,1
2769,NA,NA,19,2,258,male,NA,NA,AfD winning the next federal election will be good for Germany,-5,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,rate_statement,1
2769,NA,NA,19,2,258,male,NA,NA,Call the police or do nothing ?,5,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,experimental_trial,1
2769,,9516,19,2,258,male,very bad,very good,How did you feel about your choice ?,5,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,fit_backstory_fake_rating,1
2769,NA,NA,19,2,258,male,NA,NA,Which of the following is true about the previous study?,correct,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,understanding_check,1
2769,NA,NA,19,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,identity_check_Pro ,1
2769,NA,NA,19,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,7,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,identity_check_Anti ,1
2769,,9648,19,2,258,male,NA,NA,Which of the following statements is true?,correct,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,understanding_check2,1
2769,,17490,19,2,258,male,not at all,very strongly,Please rate how much you agree with the following statement: <br />,7,Sun Aug 22 2021 15:39:35 GMT+0200 (Mitteleuropäische Sommerzeit),1629639575179,sympathy_rating,1
2758,NA,NA,21,1,258,male,NA,NA,Please select the topic you care about the most,AfD,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,choice_of_political_topic,1
2758,NA,NA,21,1,258,male,NA,NA,AfD winning the next federal election will be good for Germany,-5,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,rate_statement,1
2758,NA,NA,21,1,258,male,NA,NA,Call the police or do nothing ?,2,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,experimental_trial,1
2758,,3686,21,1,258,male,very bad,very good,How did you feel about your choice ?,4,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,fit_backstory_fake_rating,1
2758,NA,NA,21,1,258,male,NA,NA,Which of the following is true about the previous study?,correct,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,understanding_check,1
2758,NA,NA,21,1,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,identity_check_Pro ,1
2758,NA,NA,21,1,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,4,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,identity_check_Anti ,1
2758,,8753,21,1,258,male,NA,NA,Which of the following statements is true?,correct,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,understanding_check2,1
2758,,9935,21,1,258,male,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Sun Aug 22 2021 11:43:32 GMT+0300 (Eastern European Summer Time),1629621812902,sympathy_rating,1
2751,NA,NA,48,4,258,female,NA,NA,Please select the topic you care about the most,Gun control,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,choice_of_political_topic,1
2751,NA,NA,48,4,258,female,NA,NA,Adults should have the right to carry a concealed handgun.,-5,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,rate_statement,1
2751,NA,NA,48,4,258,female,NA,NA,Call the police or do nothing ?,4,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,experimental_trial,1
2751,,6183,48,4,258,female,very bad,very good,How did you feel about your choice ?,3,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,fit_backstory_fake_rating,1
2751,NA,NA,48,4,258,female,NA,NA,Which of the following is true about the previous study?,correct,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,understanding_check,1
2751,NA,NA,48,4,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,identity_check_Pro ,1
2751,NA,NA,48,4,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,6,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,identity_check_Anti ,1
2751,,28087,48,4,258,female,NA,NA,Which of the following statements is true?,correct,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,understanding_check2,1
2751,,11883,48,4,258,female,not at all,very strongly,Please rate how much you agree with the following statement: <br />,4,Sun Aug 22 2021 01:32:29 GMT+0200 (Central European Summer Time),1629588749199,sympathy_rating,1
2717,NA,NA,21,2,258,male,NA,NA,Please select the topic you care about the most,AfD,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,choice_of_political_topic,1
2717,NA,NA,21,2,258,male,NA,NA,AfD winning the next federal election will be good for Germany,-5,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,rate_statement,1
2717,NA,NA,21,2,258,male,NA,NA,Call the police or do nothing ?,5,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,experimental_trial,1
2717,,24680,21,2,258,male,very bad,very good,How did you feel about your choice ?,3,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,fit_backstory_fake_rating,1
2717,NA,NA,21,2,258,male,NA,NA,Which of the following is true about the previous study?,correct,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,understanding_check,1
2717,NA,NA,21,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,identity_check_Pro ,1
2717,NA,NA,21,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,6,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,identity_check_Anti ,1
2717,,29613,21,2,258,male,NA,NA,Which of the following statements is true?,correct,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,understanding_check2,1
2717,,25170,21,2,258,male,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Sat Aug 21 2021 18:17:24 GMT+0200 (CEST),1629562644789,sympathy_rating,1
2715,NA,NA,21,2,258,female,NA,NA,Please select the topic you care about the most,Refugees,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,choice_of_political_topic,1
2715,NA,NA,21,2,258,female,NA,NA,Germany should open its borders for all refugees,3,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,rate_statement,1
2715,NA,NA,21,2,258,female,NA,NA,Call the police or do nothing ?,5,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,experimental_trial,1
2715,,5487,21,2,258,female,very bad,very good,How did you feel about your choice ?,5,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,fit_backstory_fake_rating,1
2715,NA,NA,21,2,258,female,NA,NA,Which of the following is true about the previous study?,correct,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,understanding_check,1
2715,NA,NA,21,2,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,5,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,identity_check_Pro ,1
2715,NA,NA,21,2,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,identity_check_Anti ,1
2715,,12610,21,2,258,female,NA,NA,Which of the following statements is true?,correct,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,understanding_check2,1
2715,,15849,21,2,258,female,not at all,very strongly,Please rate how much you agree with the following statement: <br />,4,Sat Aug 21 2021 18:12:43 GMT+0200 (CEST),1629562363596,sympathy_rating,1
2700,NA,NA,19,3,258,female,NA,NA,Please select the topic you care about the most,AfD,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,choice_of_political_topic,1
2700,NA,NA,19,3,258,female,NA,NA,AfD winning the next federal election will be good for Germany,-4,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,rate_statement,1
2700,NA,NA,19,3,258,female,NA,NA,Call the police or do nothing ?,5,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,experimental_trial,1
2700,,3957,19,3,258,female,very bad,very good,How did you feel about your choice ?,6,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,fit_backstory_fake_rating,1
2700,NA,NA,19,3,258,female,NA,NA,Which of the following is true about the previous study?,correct,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,understanding_check,1
2700,NA,NA,19,3,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,2,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,identity_check_Pro ,1
2700,NA,NA,19,3,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,4,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,identity_check_Anti ,1
2700,,25299,19,3,258,female,NA,NA,Which of the following statements is true?,correct,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,understanding_check2,1
2700,,21951,19,3,258,female,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Fri Aug 20 2021 13:46:26 GMT+0200 (Mitteleuropäische Sommerzeit),1629459987971,sympathy_rating,1
2685,NA,NA,,1,258,,NA,NA,Please select the topic you care about the most,Feminism,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,choice_of_political_topic,1
2685,NA,NA,,1,258,,NA,NA,Feminism is important and beneficial to modern society,5,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,rate_statement,1
2685,NA,NA,,1,258,,NA,NA,Call the police or do nothing ?,6,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,experimental_trial,1
2685,,5951,,1,258,,very bad,very good,How did you feel about your choice ?,6,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,fit_backstory_fake_rating,1
2685,NA,NA,,1,258,,NA,NA,Which of the following is true about the previous study?,incorrect,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,understanding_check,1
2685,NA,NA,,1,258,,NA,NA,Please rate how much you agree or disagree with the following statements:,5,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,identity_check_Pro ,1
2685,NA,NA,,1,258,,NA,NA,Please rate how much you agree or disagree with the following statements:,2,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,identity_check_Anti ,1
2685,,10851,,1,258,,NA,NA,Which of the following statements is true?,correct,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,understanding_check2,1
2685,,14547,,1,258,,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Thu Aug 19 2021 14:38:41 GMT+0200 (CEST),1629376721635,sympathy_rating,1
2684,NA,NA,22,4,258,non-binary,NA,NA,Please select the topic you care about the most,Drug legalization,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,choice_of_political_topic,1
2684,NA,NA,22,4,258,non-binary,NA,NA,Possession of drugs should be legalized,2,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,rate_statement,1
2684,NA,NA,22,4,258,non-binary,NA,NA,Call the police or do nothing ?,6,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,experimental_trial,1
2684,,2929,22,4,258,non-binary,very bad,very good,How did you feel about your choice ?,7,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,fit_backstory_fake_rating,1
2684,NA,NA,22,4,258,non-binary,NA,NA,Which of the following is true about the previous study?,correct,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,understanding_check,1
2684,NA,NA,22,4,258,non-binary,NA,NA,Please rate how much you agree or disagree with the following statements:,5,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,identity_check_Pro ,1
2684,NA,NA,22,4,258,non-binary,NA,NA,Please rate how much you agree or disagree with the following statements:,2,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,identity_check_Anti ,1
2684,,8798,22,4,258,non-binary,NA,NA,Which of the following statements is true?,incorrect,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,understanding_check2,1
2684,,12634,22,4,258,non-binary,not at all,very strongly,Please rate how much you agree with the following statement: <br />,7,Thu Aug 19 2021 12:59:48 GMT+0200 (Mitteleuropäische Sommerzeit),1629370788337,sympathy_rating,1
2683,NA,NA,21,4,258,female,NA,NA,Please select the topic you care about the most,Feminism,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,choice_of_political_topic,1
2683,NA,NA,21,4,258,female,NA,NA,Feminism is important and beneficial to modern society,5,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,rate_statement,1
2683,NA,NA,21,4,258,female,NA,NA,Call the police or do nothing ?,6,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,experimental_trial,1
2683,,2256,21,4,258,female,very bad,very good,How did you feel about your choice ?,7,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,fit_backstory_fake_rating,1
2683,NA,NA,21,4,258,female,NA,NA,Which of the following is true about the previous study?,correct,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,understanding_check,1
2683,NA,NA,21,4,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,7,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,identity_check_Pro ,1
2683,NA,NA,21,4,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,identity_check_Anti ,1
2683,,11150,21,4,258,female,NA,NA,Which of the following statements is true?,incorrect,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,understanding_check2,1
2683,,11215,21,4,258,female,not at all,very strongly,Please rate how much you agree with the following statement: <br />,7,Thu Aug 19 2021 12:41:09 GMT+0200 (Mitteleuropäische Sommerzeit),1629369669631,sympathy_rating,1
2682,NA,NA,21,3,258,female,NA,NA,Please select the topic you care about the most,AfD,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,choice_of_political_topic,1
2682,NA,NA,21,3,258,female,NA,NA,AfD winning the next federal election will be good for Germany,-5,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,rate_statement,1
2682,NA,NA,21,3,258,female,NA,NA,Call the police or do nothing ?,5,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,experimental_trial,1
2682,,2836,21,3,258,female,very bad,very good,How did you feel about your choice ?,6,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,fit_backstory_fake_rating,1
2682,NA,NA,21,3,258,female,NA,NA,Which of the following is true about the previous study?,correct,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,understanding_check,1
2682,NA,NA,21,3,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,identity_check_Pro ,1
2682,NA,NA,21,3,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,7,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,identity_check_Anti ,1
2682,,8414,21,3,258,female,NA,NA,Which of the following statements is true?,incorrect,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,understanding_check2,1
2682,,11076,21,3,258,female,not at all,very strongly,Please rate how much you agree with the following statement: <br />,6,Thu Aug 19 2021 10:54:12 GMT+0200 (Mitteleuropäische Sommerzeit),1629363252906,sympathy_rating,1
2680,NA,NA,21,2,258,prefer_not_to_say,NA,NA,Please select the topic you care about the most,Feminism,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,choice_of_political_topic,1
2680,NA,NA,21,2,258,prefer_not_to_say,NA,NA,Feminism is important and beneficial to modern society,3,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,rate_statement,1
2680,NA,NA,21,2,258,prefer_not_to_say,NA,NA,Call the police or do nothing ?,1,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,experimental_trial,1
2680,,2257,21,2,258,prefer_not_to_say,very bad,very good,How did you feel about your choice ?,7,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,fit_backstory_fake_rating,1
2680,NA,NA,21,2,258,prefer_not_to_say,NA,NA,Which of the following is true about the previous study?,correct,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,understanding_check,1
2680,NA,NA,21,2,258,prefer_not_to_say,NA,NA,Please rate how much you agree or disagree with the following statements:,3,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,identity_check_Pro ,1
2680,NA,NA,21,2,258,prefer_not_to_say,NA,NA,Please rate how much you agree or disagree with the following statements:,5,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,identity_check_Anti ,1
2680,,10422,21,2,258,prefer_not_to_say,NA,NA,Which of the following statements is true?,correct,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,understanding_check2,1
2680,,9661,21,2,258,prefer_not_to_say,not at all,very strongly,Please rate how much you agree with the following statement: <br />,4,Wed Aug 18 2021 19:29:08 GMT+0200 (Central European Summer Time),1629307748828,sympathy_rating,1
2679,NA,NA,41,2,258,male,NA,NA,Please select the topic you care about the most,Drug legalization,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,choice_of_political_topic,1
2679,NA,NA,41,2,258,male,NA,NA,Possession of drugs should be legalized,5,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,rate_statement,1
2679,NA,NA,41,2,258,male,NA,NA,Call the police or do nothing ?,6,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,experimental_trial,1
2679,,2967,41,2,258,male,very bad,very good,How did you feel about your choice ?,7,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,fit_backstory_fake_rating,1
2679,NA,NA,41,2,258,male,NA,NA,Which of the following is true about the previous study?,correct,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,understanding_check,1
2679,NA,NA,41,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,6,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,identity_check_Pro ,1
2679,NA,NA,41,2,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,1,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,identity_check_Anti ,1
2679,,14436,41,2,258,male,NA,NA,Which of the following statements is true?,correct,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,understanding_check2,1
2679,,12581,41,2,258,male,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Wed Aug 18 2021 18:13:44 GMT+0200 (Central European Summer Time),1629303224047,sympathy_rating,1
2670,NA,NA,21,2,258,female,NA,NA,Please select the topic you care about the most,Feminism,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,choice_of_political_topic,1
2670,NA,NA,21,2,258,female,NA,NA,Feminism is important and beneficial to modern society,3,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,rate_statement,1
2670,NA,NA,21,2,258,female,NA,NA,Call the police or do nothing ?,5,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,experimental_trial,1
2670,,13782,21,2,258,female,very bad,very good,How did you feel about your choice ?,6,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,fit_backstory_fake_rating,1
2670,NA,NA,21,2,258,female,NA,NA,Which of the following is true about the previous study?,correct,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,understanding_check,1
2670,NA,NA,21,2,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,5,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,identity_check_Pro ,1
2670,NA,NA,21,2,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,3,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,identity_check_Anti ,1
2670,,5730,21,2,258,female,NA,NA,Which of the following statements is true?,correct,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,understanding_check2,1
2670,,12503,21,2,258,female,not at all,very strongly,Please rate how much you agree with the following statement: <br />,6,Wed Aug 18 2021 11:08:49 GMT+0200 (hora de verano de Europa central),1629277729505,sympathy_rating,1
2669,NA,NA,23,2,258,female,NA,NA,Please select the topic you care about the most,Feminism,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,choice_of_political_topic,1
2669,NA,NA,23,2,258,female,NA,NA,Feminism is important and beneficial to modern society,4,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,rate_statement,1
2669,NA,NA,23,2,258,female,NA,NA,Call the police or do nothing ?,5,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,experimental_trial,1
2669,,22058,23,2,258,female,very bad,very good,How did you feel about your choice ?,4,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,fit_backstory_fake_rating,1
2669,NA,NA,23,2,258,female,NA,NA,Which of the following is true about the previous study?,correct,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,understanding_check,1
2669,NA,NA,23,2,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,6,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,identity_check_Pro ,1
2669,NA,NA,23,2,258,female,NA,NA,Please rate how much you agree or disagree with the following statements:,3,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,identity_check_Anti ,1
2669,,16314,23,2,258,female,NA,NA,Which of the following statements is true?,correct,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,understanding_check2,1
2669,,22980,23,2,258,female,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Wed Aug 18 2021 10:53:58 GMT+0200 (Central European Summer Time),1629276838328,sympathy_rating,1
2668,NA,NA,47,3,258,female,NA,NA,Please select the topic you care about the most,Refugees,Wed Aug 18 2021 10:16:15 GMT+0200 (Mitteleuropäische Sommerzeit),1629274575349,choice_of_political_topic,1
